Unnamed: 0,CoFactor,CoFactorC,DTT,Inhibitor,NTPs,Plasmid,Ppase,Spermidine,T7,Temperature,Time,Tris-Hcl,Eval,Concentration
30,MgAcetate,22.97509531,4.986697757,368,8.381506293,71,0,8.062413333,34344,22,111,6.883444285,850.177,0.614453437
31,MgAcetate,63.05747703,0.0,575,8.382212134,26,7,0.0,7532,36,21,6.884497465,115.388,0.201488226
32,MgAcetate,58.60669339,8.071926492,876,8.611412345,63,8,2.454542394,6683,42,270,6.964327232,13503.0,7.725577474
33,MgAcetate,81.50851364,4.347487685,831,8.607771892,56,10,2.68531708,1000,45,300,7.316781194,377.0,0.348519081
34,MgCl2,0.0,10.0,851,8.640729896,100,0,10.0,50000,20,10,6.5,0.0,0.136638004
35,MgAcetate,69.69004493,10.0,929,9.162098795,12,10,0.0,1838,47,300,6.5,0.0,0.136638004
36,MgAcetate,66.84016009,5.380658877,1231,8.579301294,99,0,0.647156118,7367,35,297,7.3,8072.0,4.673253527
37,MgAcetate,62.13848057,6.514029514,976,2.146204153,61,10,2.495280342,5686,35,280,7.356233864,991.817,0.694057776
38,MgAcetate,63.03119142,5.565411238,758,10.0,100,0,1.239227761,2394,45,300,6.5,0.0,0.136638004
39,MgAcetate,59.69881344,6.14373678,957,4.224951568,78,8,1.014360592,29579,49,218,6.805451148,0.0,0.136638004
40,MgCl2,59.85654996,9.904010307,1284,9.482598878,89,4,8.936067679,22597,37,223,6.946554729,1013.812,0.706419378
41,MgAcetate,77.70608125,7.94297051,645,9.679238672,21,6,1.808171905,8826,41,220,6.960885936,3071.714,1.862998932
42,MgAcetate,60.75034128,6.107503675,1362,6.561247927,92,2,0.0,23496,38,139,6.958333024,6200.775,3.621589951
43,MgAcetate,59.87398803,9.845443678,986,8.504472079,100,2,1.305660615,6166,40,148,6.779969915,21933.0,12.46339572
44,MgCl2,59.86035789,2.800329021,1898,8.5530354,86,3,4.251341568,13041,37,262,6.813200441,1662.646,1.071076266
45,MgAcetate,60.02137884,0.099862473,2000,8.521216143,19,5,5.595279876,2860,44,121,7.113833563,0.0,0.136638004
46,MgAcetate,59.88714809,3.869200046,801,8.544471716,99,6,9.562820412,28597,50,216,7.081285706,0.0,0.136638004
